Date,Product_ID,Product_Name,Category,Stock_Level,Reorder_Point,Safety_Stock,Unit_Cost,Supplier_ID,Supplier_Name,Lead_Time_Days,Quality_Rating,On_Time_Delivery,Transportation_Cost_Per_Mile,Warehouse_Cost_Per_SqFt,Order_Quantity,Orders_Processed,Delivery_Status
2024-01-01,SC001,Industrial Components,Manufacturing,850,200,150,45.50,SUP001,Global Manufacturing Co,7,4.8,Yes,2.25,8.20,500,45,On Time
2024-01-02,SC002,Electronic Parts,Technology,650,180,120,67.80,SUP002,Tech Solutions Ltd,5,4.6,Yes,2.30,8.25,300,52,On Time
2024-01-03,SC003,Raw Materials,Construction,1200,300,200,23.40,SUP003,BuildCorp Supplies,14,4.2,No,2.45,8.15,800,38,Late
2024-01-04,SC004,Chemical Compounds,Pharmaceutical,450,150,100,89.60,SUP004,PharmaChem Inc,3,4.9,Yes,2.15,8.35,250,67,On Time
2024-01-05,SC005,Automotive Parts,Automotive,750,200,150,156.70,SUP005,AutoParts Direct,10,4.5,Yes,2.28,8.18,400,41,On Time
2024-01-06,SC006,Food Ingredients,Food & Beverage,300,100,75,12.30,SUP006,Fresh Ingredients Co,2,4.7,Yes,2.35,8.22,600,58,On Time
2024-01-07,SC007,Textile Materials,Apparel,550,180,120,34.80,SUP007,Fabric Solutions,8,4.4,Yes,2.32,8.28,350,47,On Time
2024-01-08,SC008,Medical Devices,Healthcare,180,80,60,234.50,SUP008,MedTech Supplies,5,4.8,Yes,2.20,8.45,150,29,On Time
2024-01-09,SC009,Office Supplies,Corporate,420,120,80,8.90,SUP009,Office Direct,4,4.3,No,2.40,8.12,750,63,Late
2024-01-10,SC010,Heavy Machinery,Industrial,95,40,30,2456.80,SUP010,Heavy Equipment LLC,21,4.1,No,2.55,8.08,25,12,Late
